ID,Level_01,Answer1,Level_01_Focus,Level_01_Correct,Level_01_Meaning,Level_02,Level_02_Meaning,Level_03,Level_03_Meaning
1,An incident occurred that thrilled the contemporary art scene.,Correct,that,An incident occurred that thrilled the contemporary art scene.,현대 예술 분야를 놀라게한 사건이 일어났다.,An incident occurred that thrilled the contemporary art scene.,현대 미술계를 놀라게 한 사건이 일어났다.,They built a machine that mimics artists.,그들은 예술가들을 흉내 내는 기계를 만들었다.
2,We are the engineers who the engineers developed that AI system.,Incorrect,who,We are the engineers who developed that AI system.,우리가 저 AI 시스템을 개발한 엔지니어들이다.,We are the engineers who developed that AI system.,우리는 그 AI 시스템을 개발한 엔지니어들이다.,The show had artworks that moved!,그 전시에는 움직이는 예술 작품들이 있었다!
3,They presented a video that showed the AI's production process.,Correct,that,They presented a video that showed the AI's production process.,그들은 AI의 생산과정을 보여주는 비디오를 보여주었다.,They presented a video that showed the AI's production process.,그들은 AI의 제작 과정을 보여주는 영상을 발표했다.,I met a guy who teaches robots to draw.,나는 로봇에게 그림을 가르치는 남자를 만났다.
4,There are those who that AI is more than a tool.,Incorrect,who,There are those who insist that AI is more than a tool.,AI가 단순한 도구 이상이라고 주장하는 사람들이 있다.,There are those who insist that AI is more than a tool.,AI가 단순한 도구 그 이상이라고 주장하는 사람들이 있다.,"The image, which went viral, was fake.","그 이미지는 가짜였어, 그리고 그것은 입소문을 탔다. "
5,"Look at the mechanism of AI creativity, which is programmed to work in a similar way to human creativity.",Correct,which,"Look at the mechanism of AI creativity, which is programmed to work in a similar way to human creativity.",AI 창의성의 작동원리를 봐라. 그리고 그것은 인간의 창의성과 유사한 방식으로 작동하도록 프로그램 되었다.,"Look at the mechanism of AI creativity, which is programmed to work in a similar way to human creativity.","AI 창의성의 작동 방식을 보아라, 그리고 그것은 인간의 창의성과 비슷하게 작동하도록 설계되어 있다.",Here's a program that learns to sketch.,여기에 스케치를 배우는 프로그램이 있어.
6,"The machine learns by itself, is done through a machine learning.",Incorrect,", is","The machine learns by itself, which is done through a machine learning.",기계는 스스로 학습한다. 그리고 그것은 기계 학습으로 진행된다.,"The AI, which mimics the style of other artists, created the picture.","그 AI가 그림을 만들었다, 그리고 그것은 다른 예술가들의 스타일을 모방한다.",She made a face that wasn’t real.,그녀는 진짜가 아닌 얼굴을 만들었다.
7,We can see AI platforms and art that some viewers condsider more impressive.,Correct,that,We can see AI platforms and art that some viewers condsider more impressive.,우리는 일부 관람객들이 더 인상적이라고 여기는 AI 플랫폼과 예술 작품을 볼 수 있다.,"This is an AI that makes art, which is pretty cool.","이것은 예술을 만드는 AI예요, 그리고 그것은 꽤 멋지다.",This is the path that AI followed.,이것은 AI가 따라간 경로이다.
8,A portrait that is created by AI was sold for nearly half a million dollars.,Correct,that,A portrait that is created by AI was sold for nearly half a million dollars.,AI가 만든 초상화가 거의 50만 달러에 팔렸다.,I saw a robot that paints portraits.,나는 초상화를 그리는 로봇을 봤다.,"The idea, which came from a cat video, was genius.","그 아이디어는 정말 기발했어, 그리고 그것은 고양이 영상에서 나왔다."
9,This pattern of AI creation is much like the path which is taken by major artists.,Correct,which,This pattern of AI creation is much like the path which is taken by major artists.,AI 창작의 방식은 주요 예술가들이 걷는 길과 매우 비슷하다.,She’s an artist who works with AI.,그녀는 AI와 함께 작업하는 예술가이다.,I like tools that help me draw faster.,나는 내가 더 빨리 그림을 그릴 수 있게 도와주는 도구들을 좋아한다.
10,"The AI, that mimics the style of other artists, created the picture.",Incorrect,that,"The AI, which mimics the style of the other artists, created the picture.",AI는 사진을 만들었다. 그리고 그 Ai는 다른 예술가들의 스타일을 모방한다.,"The drawing, which looks real, was made by AI.","그 그림은 AI가 만들었어요, 그리고 그것은 진짜처럼 보인다.","The style, which feels old, is made by new tech.","그 스타일은 새로운 기술로 만들어졌다, 그리고 그것은 오래된 느낌이 난다."
,,,,,,,,,
,,,,,,,,,
